ListenID_23_04,Name,Kategorie,Typ,SM_TwitterURL,SM_TwitterID,SM_FacebookURL,SM_FacebookID,SM_InstagramURL,SM_InstagramID,K_Geschlecht,T_Abgeordneter,T_Partei,T_Domaene_Behoerde,K_Ursprungsgattung,K_Finanzierung,T_Mitglied_in_BPK
1,Bundespräsident,2,15,https://twitter.com/BPrSprecherin,1509211459938570242,https://www.facebook.com/Bundespraesident.Steinmeier/,100044378801284,https://www.instagram.com/bundespraesident.steinmeier/,10646152710,,,,Verfassungsorgan Bund,,,
2,Deutscher Bundestag,2,15,https://twitter.com/Bundestag,3088296873,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Verfassungsorgan Bund,,,
3,Bundesverfassungsgericht,2,15,https://twitter.com/BVerfG,19350201,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Verfassungsorgan Bund,,,
4,Bundesrat,2,15,https://twitter.com/bundesrat,76644468,existiert nicht,existiert nicht,https://www.instagram.com/bundesrat/,1637898029,,,,Verfassungsorgan Bund,,,
5,Bundesregierung,2,15,existiert nicht,existiert nicht,https://www.facebook.com/Bundesregierung/,768905426534529,existiert nicht,existiert nicht,,,,Verfassungsorgan Bund,,,
6,Bundespräsidialamt,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Bundesbehörde,,,
7,Verwaltung des Deutschen Bundestages,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Bundesbehörde,,,
8,Sekretariat des Bundesrates,2,15,https://twitter.com/bundesrat,76644468,existiert nicht,existiert nicht,https://www.instagram.com/bundesrat/,1637898029,,,,Oberste Bundesbehörde,,,
9,Bundesverfassungsgericht (soweit als Behörde tätig),2,15,https://twitter.com/BVerfG,19350201,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Bundesbehörde,,,
10,Bundesrechnungshof,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Bundesbehörde,,,
11,Bundeskanzleramt,2,15,https://twitter.com/BK_Amt,3293854329,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Bundesbehörde,,,
12,Beauftragter der Bundesregierung für Kultur und Medien,2,15,https://twitter.com/BundesKultur,824888938103844864,existiert nicht,existiert nicht,https://www.instagram.com/bundeskultur/,4613706185,,,,Oberste Bundesbehörde,,,
13,Presse- und Informationsamt der Bundesregierung,2,15,https://twitter.com/regsprecher,234343491,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Bundesbehörde,,,
14,Bundesministerium für Wirtschaft und Klimaschutz,2,15,https://twitter.com/bmwk,947587280,https://www.facebook.com/BMWK/,217879838339082,https://www.instagram.com/bmwk_bund/,18086122076,,,,Oberste Bundesbehörde,,,
15,Bundesministerium der Finanzen,2,15,https://twitter.com/BMF_Bund,459092531,https://www.facebook.com/finanzministerium/,100068682038697,https://www.instagram.com/bundesfinanzministerium/,5501485112,,,,Oberste Bundesbehörde,,,
16,Bundesministerium des Innern und für Heimat,2,15,https://twitter.com/BMI_Bund,588242800,https://de-de.facebook.com/innenministerium,100064893452216,https://www.instagram.com/innenministerium/,7606278506,,,,Oberste Bundesbehörde,,,
17,Auswärtiges Amt,2,15,https://twitter.com/AuswaertigesAmt,273468342,https://www.facebook.com/AuswaertigesAmt/,237282353035609,https://www.instagram.com/auswaertigesamt/,1766820461,,,,Oberste Bundesbehörde,,,
18,Bundesministerium der Justiz,2,15,https://twitter.com/bmj_bund,2313799808,https://www.facebook.com/bundesjustizministerium/,567366010021216,https://www.instagram.com/bundesjustizministerium/,12286197893,,,,Oberste Bundesbehörde,,,
19,Bundesministerium für Arbeit und Soziales,2,15,https://twitter.com/BMAS_Bund,1543415318,https://www.facebook.com/BMAS.Bund/,108268845888673,https://www.instagram.com/bmas_bund/,10739069080,,,,Oberste Bundesbehörde,,,
20,Bundesministerium der Verteidigung,2,15,https://twitter.com/BMVg_Bundeswehr,1121700961125314560,https://www.facebook.com/Bundeswehr/,122840837780517,https://www.instagram.com/bundeswehr/,1441174006,,,,Oberste Bundesbehörde,,,
21,Bundesministerium für Ernährung und Landwirtschaft,2,15,https://twitter.com/bmel,322697372,existiert nicht,existiert nicht,https://www.instagram.com/lebensministerium/,7443811994,,,,Oberste Bundesbehörde,,,
22,"Bundesministerium für Familie, Senioren, Frauen und Jugend",2,15,https://twitter.com/BMFSFJ,467321087,https://www.facebook.com/bmfsfj,511785248971976,https://www.instagram.com/bmfsfj/,48203823,,,,Oberste Bundesbehörde,,,
23,Bundesministerium für Gesundheit,2,15,https://twitter.com/BMG_Bund,2478349112,https://www.facebook.com/bmg.bund/,323245001172018,https://www.instagram.com/bundesgesundheitsministerium/,11372596086,,,,Oberste Bundesbehörde,,,
24,Bundesministerium für Digitales und Verkehr,2,15,https://twitter.com/bmdv,252952532,https://www.facebook.com/bmdv/,1393167744264820,https://www.instagram.com/bmdv/,2993669261,,,,Oberste Bundesbehörde,,,
25,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",2,15,https://twitter.com/BMUV,164620984,https://www.facebook.com/BMUV.bund,1433861060177860,https://www.instagram.com/umweltministerium/,1992162743,,,,Oberste Bundesbehörde,,,
