KomplettID,ListenID_26_03,Name,Kategorie,Typ,SM_XURL,SM_XID,SM_FacebookURL,SM_FacebookID,SM_YoutubeURL,SM_InstagramURL,SM_TikTokURL,K_Geschlecht,T_Abgeordneter,T_Partei,T_Domaene_Behoerde,T_Art_Bildung_und_Forschung,K_Ursprungsgattung,K_Finanzierung
4143,1,AFP Deutschland GmbH,1,7,https://x.com/afpde,544260625,existiert nicht,existiert nicht,https://www.youtube.com/@afpde,https://www.instagram.com/afpfaktencheck/,existiert nicht,.,.,.,.,.,keine Kategorie trifft zu,privatwirtschaftlich
4144,2,DPA Deutsche Presse-Agentur,1,7,https://x.com/dpa,40227292,https://www.facebook.com/DeutschePresseAgenturGmbH,186293561508225,https://www.youtube.com/@dpa_com,https://www.instagram.com/dpa_com/,https://www.tiktok.com/@dpa_factchecking,.,.,.,.,.,keine Kategorie trifft zu,privatwirtschaftlich
4145,3,Dpa-AFX Wirtschaftsnachrichten,1,7,https://x.com/dpaafx,352919905,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,keine Kategorie trifft zu,privatwirtschaftlich
4146,4,dts  Deutsche Textservice Nachrichtenagentur,1,7,https://x.com/dts_nachrichten,22693375,existiert nicht,existiert nicht,existiert nicht,https://www.instagram.com/dts_nachrichtenagentur/,existiert nicht,.,.,.,.,.,keine Kategorie trifft zu,privatwirtschaftlich
4147,5,epd Evangelischer Pressedienst,1,7,https://x.com/epdmedien,70908930,https://www.facebook.com/evangelischerpressedienst,100063616025089,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,keine Kategorie trifft zu,privatwirtschaftlich
4148,6,Humanistischer Pressedienst,1,7,https://x.com/hpdticker,58758769,https://www.facebook.com/hpd.de,100063856800535,https://www.youtube.com/hpdvideo,https://www.instagram.com/hpd.de/,existiert nicht,.,.,.,.,.,keine Kategorie trifft zu,privatwirtschaftlich
4149,7,idea (Evangelische Nachrichtenagentur Idea),1,7,https://x.com/ideade,44619712,https://www.facebook.com/IDEADE,100063700315200,https://www.youtube.com/@ideaNachrichten,https://www.instagram.com/mein.idea/,existiert nicht,.,.,.,.,.,keine Kategorie trifft zu,privatwirtschaftlich
4150,8,idw (Informationsdienst Wissenschaft),1,7,https://x.com/idw_online_de,210843135,https://www.facebook.com/idwonline,248984995115894,https://www.youtube.com/@idw-online,https://www.instagram.com/team_idw/,existiert nicht,.,.,.,.,.,keine Kategorie trifft zu,privatwirtschaftlich
4151,9,KNA Katholische Nachrichten-Agentur,1,7,existiert nicht,existiert nicht,https://www.facebook.com/KatholischeNachrichtenAgentur,100063518078410,https://www.youtube.com/@KNA-Bonn,existiert nicht,existiert nicht,.,.,.,.,.,keine Kategorie trifft zu,privatwirtschaftlich
4152,10,Reuters Deutschland,1,7,https://x.com/reuters_de,55035997,https://www.facebook.com/ReutersDeutschland,166409743475876,https://www.youtube.com/@Reuters,https://www.instagram.com/Reuters,https://www.tiktok.com/@reuters,.,.,.,.,.,keine Kategorie trifft zu,privatwirtschaftlich
4153,11,sid Sport-Informations-Dienst,1,7,https://x.com/sid_sportnews,296288338,https://www.facebook.com/SIDSportnews,100045127885123,https://www.youtube.com/@sidsportnews,https://www.instagram.com/sid.sportnews/,https://www.tiktok.com/@sid.sportnews,.,.,.,.,.,keine Kategorie trifft zu,privatwirtschaftlich
4154,12,TS   Teleschau,1,7,existiert nicht,existiert nicht,https://www.facebook.com/teleschau,100058107854673,existiert nicht,https://www.instagram.com/teleschau/,existiert nicht,.,.,.,.,.,keine Kategorie trifft zu,privatwirtschaftlich
