ListenID_23_04,Name,Kategorie,Typ,SM_TwitterURL,SM_TwitterID,SM_FacebookURL,SM_FacebookID,SM_InstagramURL,SM_InstagramID,K_Geschlecht,T_Abgeordneter,T_Partei,T_Domaene_Behoerde,K_Ursprungsgattung,K_Finanzierung,T_Mitglied_in_BPK
1,AFP Deutschland GmbH,1,7,https://twitter.com/afpde,544260625,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,,keine Kategorie trifft zu,privat,
2,DPA Deutsche Presse-Agentur,1,7,https://twitter.com/dpa,40227292,https://www.facebook.com/DeutschePresseAgenturGmbH,186293561508225,https://www.instagram.com/dpa_com/,1755073953,,,,,keine Kategorie trifft zu,privat,
3,DPA live,1,7,https://twitter.com/dpa_live,23842694,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,,keine Kategorie trifft zu,privat,
4,DPA Tech-Ticker,1,7,https://twitter.com/dpa_techticker,40227879,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,,keine Kategorie trifft zu,privat,
5,Dpa-AFX Wirtschaftsnachrichten,1,7,https://twitter.com/dpaafx,352919905,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,,keine Kategorie trifft zu,privat,
6,dts  Deutsche Textservice Nachrichtenagentur,1,7,https://twitter.com/dts_nachrichten,22693375,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,,keine Kategorie trifft zu,privat,
7,epd Evangelischer Pressedienst,1,7,https://twitter.com/epdmedien,70908930,https://www.facebook.com/evangelischerpressedienst,100063616025089,existiert nicht,existiert nicht,,,,,keine Kategorie trifft zu,privat,
8,Humanistischer Pressedienst,1,7,https://twitter.com/hpdticker,58758769,https://www.facebook.com/hpd.de,100063856800535,https://www.instagram.com/hpd.de/,7305250009,,,,,keine Kategorie trifft zu,privat,
9,idea (Evangelische Nachrichtenagentur Idea),1,7,https://twitter.com/ideade,44619712,https://www.facebook.com/IDEADE,100063700315200,https://www.instagram.com/mein.idea/,46940626126,,,,,keine Kategorie trifft zu,privat,
10,idw (Informationsdienst Wissenschaft),1,7,https://twitter.com/idw_online_de,210843135,https://www.facebook.com/idwonline,248984995115894,existiert nicht,existiert nicht,,,,,keine Kategorie trifft zu,privat,
11,KNA Katholische Nachrichten-Agentur,1,7,https://twitter.com/kna_redaktion,2237514769,https://www.facebook.com/KatholischeNachrichtenAgentur,100063518078410,existiert nicht,existiert nicht,,,,,keine Kategorie trifft zu,privat,
12,Reuters Deutschland,1,7,https://twitter.com/reuters_de,55035997,https://www.facebook.com/ReutersDeutschland,166409743475876,existiert nicht,existiert nicht,,,,,keine Kategorie trifft zu,privat,
13,sid Sport-Informations-Dienst,1,7,https://twitter.com/sid_sportnews,296288338,https://www.facebook.com/SIDSportnews,100045127885123,https://www.instagram.com/sid.sportnews/,6904362480,,,,,keine Kategorie trifft zu,privat,
14,TS   Teleschau,1,7,https://twitter.com/teleschau,20771709,https://www.facebook.com/teleschau,100058107854673,https://www.instagram.com/teleschau/,18088732775,,,,,keine Kategorie trifft zu,privat,
15,vwd (Vereinigte Wirtschaftsdienste),1,7,https://twitter.com/vwdgroup,39964473,existiert nicht,existiert nicht,https://www.instagram.com/infrontfinance/,13472722910,,,,,keine Kategorie trifft zu,privat,
